event_id,collector_tstamp,domain_userid,page_urlpath
52c0e3dd-7dc2-433b-ad90-ac94bf1ed172,2016-01-01 01:33:35.0,afaa5ae5149c4e6d,/our-products
bc365a8f-3d9c-4364-aec6-74deba947979,2016-01-01 01:33:46.0,e823519dcbecf216,/your-box/item/MNgCneCQnBTsAhpUSKW9lFF4HVq0-nvtRoKs8OI38JVIHgO19S304ta9wGbm_JhP/change-quantity
aaa9ff41-be66-412c-8a8b-3d5e8f05b220,2016-01-01 01:34:02.0,b12fb3afde81679a,/blades
f2ec6ff4-fe8b-468c-a550-dd86257f00a6,2016-01-01 01:34:32.0,bb8a0d9a31f021be,/blades
008d5d5b-bb93-4c97-948d-27ff660a5c8c,2016-01-01 01:35:21.0,805c5528602d1076,/our-products/style
4ba1c0fd-01c3-4ece-b77e-b7b39718eae5,2016-01-01 04:32:30.0,a6d79809eb606f19,/login
92d4752d-c027-4266-ad17-4d051db680e0,2016-01-01 04:35:27.0,2a306480784ad73f,/checkout/extras
6080d6e9-9019-4c8a-b8f0-ed37f27876c6,2016-01-01 05:30:42.0,c64802b1ca172cf8,/our-products/style/match/current-product
1b41c85c-9cce-4222-97bb-3f2a9c203c62,2016-01-01 05:32:43.0,c999b100cbbb875d,/blades
f6f0a469-a97a-4512-952e-51d623ba9787,2016-01-01 05:35:41.0,45893c7511520d05,/blades
8868c1c5-5441-40a0-ac32-9a372e4c1d91,2016-01-01 13:31:12.0,b410f87747e8ee11,/login
ec473bee-6a2c-48e2-801a-af95c88fda7e,2016-01-01 13:32:52.0,40120ee6be432ecf,/how-it-works
6a0fd161-5393-4e3e-a033-591f4dbf3c7e,2016-01-01 17:32:10.0,1f743a443d8a308d,/your-box/now/checkout
dd3c5d71-fc7f-4fb2-9b58-e573f1c49ea2,2016-01-01 17:32:20.0,6f99579ebb522d6d,/blades
7bf584ea-f52f-4fa0-919b-1d7a48cec2a8,2016-01-01 17:32:27.0,9a0397e81d4a8c73,/login
50727bf7-2f79-4845-b31d-a0a4f90016de,2016-01-01 17:32:47.0,6f99579ebb522d6d,/your-box/funnel
cb2760a5-eda9-48c5-8e1e-dda51d202016,2016-01-01 17:34:04.0,6f99579ebb522d6d,/your-box/next
ce70acd3-1408-4668-b351-4fba74cbef40,2016-01-01 20:30:57.0,6544b76ed49a4e1b,/blades
fcd64100-3666-4d28-8003-65ba5fe6fe6d,2016-01-01 20:31:00.0,9a7fd9e0f850ccc9,/login
5abb6101-bb34-4a6f-974b-2e057e76d900,2016-01-01 20:31:18.0,a45d70ec00a2da82,/our-products
0bac8f5a-65fe-4cd9-9a59-054e97431b08,2016-01-01 20:31:29.0,360432214fa5f3ea,/our-products
68ded986-209e-4ec2-987c-992e9533a71f,2016-01-01 20:32:38.0,c38f67fd8e9ea911,/your-box/add-product/wipes
963a31e7-9b5f-4c6d-917a-d5387aaf150e,2016-01-01 20:33:08.0,cecf12e0ea9eb791,/our-products
b657f5d6-390c-4a7b-b4ca-87693d2c77ab,2016-01-01 20:33:14.0,cecf12e0ea9eb791,/our-products/style
949c1c15-210d-4965-902e-474eb03b8f21,2016-01-01 23:32:00.0,f147b02e7c8aa769,/your-box/item/MNgCneCQnBTsAhpUSKW9lFF4HVq0-nvtRoKs8OI38JXcyvQn6xUx2zFFxMTPLEia/change-quantity
2d7ac488-63eb-4831-8d24-302fcfef699d,2016-01-01 23:33:45.0,53a0ed1ab0cd6704,/
babbe8fe-5dd0-4c53-b1ea-4826095ac925,2016-01-01 01:30:55.0,fee830db7fd1554b,/blades
d136e575-528e-45d6-8922-e6222b14dfae,2016-01-01 01:31:32.0,3ff4b08d281b4bdb,/your-account
3ccf2fa0-9ac6-4f38-ab06-e01e5b358b07,2016-01-01 04:30:55.0,7948dc04202b272b,/blades
d171059c-32c2-418b-a2f2-63da45b60b27,2016-01-01 04:30:56.0,e2112d7f2b57fbef,/our-products
d2f33627-ad2a-4e9b-8d68-1320cd8d600e,2016-01-01 04:31:07.0,e2112d7f2b57fbef,/your-account
92bf2b9d-f785-4503-90f1-784e2aec398a,2016-01-01 04:31:35.0,e2112d7f2b57fbef,/your-box/item/MNgCneCQnBTsAhpUSKW9lFF4HVq0-nvtRoKs8OI38JVMG7T9WUh0qGvoWr0ApzXz/change-frequency
240266ab-1abd-4d3f-8482-d8743b0fd6a5,2016-01-01 04:31:51.0,e2112d7f2b57fbef,/our-products/fresh/travel-wipes
76a70711-9e39-4aae-8f0b-8c6786b4102b,2016-01-01 04:32:56.0,bef47dbdecd96b89,/your-box/add-product/post-shave/qty/1
b12d337c-4933-4a4e-899d-45ab6845df4f,2016-01-01 04:33:00.0,ecac855fedd77e5f,/your-box/add-product/wipes/qty/1
7f2758a9-9aab-44bb-90f4-08f6049d0a70,2016-01-01 04:35:54.0,705e64359c4a39cb,/our-products
a8f8f7d4-86df-4a54-9606-ecb35d669b3e,2016-01-01 05:30:57.0,c64802b1ca172cf8,/our-products/style/match/hold
6a7a011e-b11f-4c01-970c-07dc8dc5e420,2016-01-01 05:31:04.0,c64802b1ca172cf8,/our-products/style/match
8cbd37d3-ba69-43ce-8833-bcf879bc88b5,2016-01-01 05:31:48.0,b3472db73c1d1127,/your-box/add-product/2-blade-razor-handle/qty/1
eed05b43-e36a-4b1f-9baa-e5022d348d73,2016-01-01 05:36:09.0,85561c21318be2df,/checkout/extras
b2553519-80cf-4868-baf0-885b14ddb193,2016-01-01 13:31:32.0,6bbd4bd0f7838698,/our-products/fresh
f86b63c3-18cb-49db-b6f4-5ee275b1df9b,2016-01-01 13:31:36.0,6bbd4bd0f7838698,/our-products/style
080745a2-e11b-42d3-8ad8-18986c9dfe51,2016-01-01 13:34:15.0,bfc165df9d6850d8,/checkout/complete
5a8eacae-0e79-4e20-823a-3ebfbc2622d3,2016-01-01 17:31:16.0,eb79e588d3388150,/our-products
d815a601-d6d8-41e7-a2b2-d2192be48966,2016-01-01 17:31:31.0,eb79e588d3388150,/our-products/humble-twin
a2cecb3c-f998-4ec7-b388-c9abc03ea4ae,2016-01-01 17:36:09.0,c2dfe200fe5e0367,/your-box/next
29596dbc-f333-49a1-a59c-1893da3036c0,2016-01-01 20:32:08.0,6ad0253cb188dc3a,/
e4e7530b-7a11-4c77-8dd9-cb853546f0f2,2016-01-01 20:33:06.0,0eb66eb646f99991,/login
bb7b1fbe-b0af-4413-81ec-48d2b6857d87,2016-01-01 23:30:48.0,52b05aa60e10999f,/
d9c6fa46-2d5a-4089-b33d-2d1332564623,2016-01-01 23:31:53.0,f147b02e7c8aa769,/our-products/fresh/travel-wipes
ec5f239e-6405-47fb-93f1-5e2e9a621cb7,2016-01-01 23:32:41.0,6a58e985a6e24549,/your-box/add-product/wipes
1bd39237-d501-4f31-b4c1-a535ecf08e40,2016-01-01 23:32:45.0,6a58e985a6e24549,/our-products
044bc35c-8392-4b6d-8ee0-d1ac04060ed9,2016-01-01 23:34:18.0,53a0ed1ab0cd6704,/your-box/now/checkout
30a2fc10-22ec-467e-aa84-2ef38f9bd1d6,2016-01-01 01:30:51.0,06b5f1c3e7146c1e,/checkout/finish-up
e1244e26-df40-407f-87c4-93ff2dfde739,2016-01-01 01:31:10.0,8fd92ad139ffaf19,/login
